snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,net_complexity_index,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection
23,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:08.04,68.04,1701,1280,720,212596,0.2306814236111111,157615,0.1710232204861111,1600,3160,4759,3160,4759,1463,1079,36406,161065,21112,15294,1928,1286,44439.0,105854.0,186.0,1447.0,23.04927385892116,82.31259720062208,23654,0.02566623263888889,4962.843897298178,0.9817468726417744,0.9926992073425115,0.41981408354903926,2.3820067958324893,0.5155568654503514,2542,150293.0,0.7043175663537224,1.1204054566123531
24,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:11.04,71.04,1776,1280,720,184559,0.20025933159722223,140684,0.15265190972222223,1600,3170,4769,3170,4769,1494,447,39377,149505,26519,12858,1311,875,30740.0,105251.0,223.0,3348.0,23.447749809305872,120.28685714285714,28460,0.03088107638888889,5225.346644694011,0.9790173126956366,0.9947851481017939,0.2920637333612032,3.4239102147039686,0.5213713915417781,1941,135991.0,0.7739556294166525,1.0731928051585655
25,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:14.08,74.08,1852,1280,720,184559,0.20025933159722223,140684,0.15265190972222223,1600,3170,4769,3170,4769,1494,447,39377,149505,26519,12858,1311,875,30740.0,105251.0,223.0,3348.0,23.447749809305872,120.28685714285714,28460,0.03088107638888889,5225.346644694011,0.9790173126956366,0.9947851481017939,0.2920637333612032,3.4239102147039686,0.5213713915417781,1941,135991.0,0.7739556294166525,1.0731928051585655
26,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:17.12,77.12,1928,1280,720,212416,0.2304861111111111,165176,0.17922743055555557,1600,3178,4777,3178,4777,1490,747,48863,177544,33797,15066,1487,992,37202.0,122040.0,153.0,6286.0,25.01815736381977,123.0241935483871,36034,0.03909939236111111,7659.079720052084,0.9850007825194482,0.9964539007092199,0.30483448049819734,3.28046879200043,0.5405432304607628,2237,159242.0,0.7663807287022268,1.066189306743202
27,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:20.12,80.12,2003,1280,720,164170,0.17813585069444443,125875,0.13658311631944445,1600,3183,4782,3182,4781,1517,268,34648,134257,23937,10711,1149,767,25451.0,96758.0,277.0,6302.0,22.150565709312446,126.15123859191655,25722,0.02791015625,4208.087142198351,0.9580996473649898,0.9974968710888611,0.26303768163872754,3.801736670464815,0.5122693337281778,1785,122209.0,0.791742015727156,1.0745707482140618
28,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:23.16,83.16,2079,1280,720,164277,0.178251953125,125949,0.13666341145833333,1600,3180,4779,3179,4778,1520,269,34680,134341,23960,10720,1148,765,25460.0,96816.0,277.0,6302.0,22.177700348432055,126.55686274509804,25749,0.027939453125,4215.171061197916,0.9616061818311755,0.9968710888610763,0.26297306230375145,3.8026708562450904,0.5127574828237772,1789,122276.0,0.7917825247800059,1.0746661101836394
29,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:26.16,86.16,2154,1280,720,95480,0.10360243055555556,75045,0.08142903645833334,1600,3169,4768,3167,4766,1509,374,19026,79764,12957,6069,902,601,25142.0,48725.0,248.0,828.0,27.873614190687363,81.07321131447587,14840,0.016102430555555554,1422.387302246094,0.9534171985980767,0.9945765540258656,0.5159979476654695,1.9379922042796913,0.47576868985965093,1883,73867.0,0.6596314998578526,1.1453268503511616
30,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:29.20,89.2,2230,1280,720,95481,0.103603515625,75044,0.08142795138888889,1600,3166,4765,3164,4763,1510,374,19021,79759,12952,6069,902,601,25138.0,48728.0,248.0,828.0,27.86917960088692,81.07820299500833,14836,0.01609809027777778,1422.0087650282119,0.9480651159479843,0.9939507717980809,0.5158840912822197,1.9384199220303922,0.4748553485099224,1884,73866.0,0.6596810440527442,1.1454601605929586
31,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:32.20,92.2,2305,1280,720,28811,0.03126193576388889,22863,0.024807942708333332,1261,2516,3776,2505,3765,1208,45,5196,23813,3397,1799,154,103,4230.0,17691.0,720.0,1144.0,27.467532467532468,171.75728155339806,4650,0.005045572916666667,134.8931306423611,0.7827023056376963,0.9997352396081546,0.23910462947261318,4.1822695035461,0.4124602275396201,1253,21921.0,0.8070343506226906,1.3688548719458347
32,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:35.24,95.24,2381,1280,720,28811,0.03126193576388889,22863,0.024807942708333332,1261,2516,3776,2505,3765,1208,45,5196,23813,3397,1799,154,103,4230.0,17691.0,720.0,1144.0,27.467532467532468,171.75728155339806,4650,0.005045572916666667,134.8931306423611,0.7827023056376963,0.9997352396081546,0.23910462947261318,4.1822695035461,0.4124602275396201,1253,21921.0,0.8070343506226906,1.3688548719458347
33,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:38.28,98.28,2457,1280,720,28811,0.03126193576388889,22863,0.024807942708333332,1261,2516,3776,2505,3765,1208,45,5196,23813,3397,1799,154,103,4230.0,17691.0,720.0,1144.0,27.467532467532468,171.75728155339806,4650,0.005045572916666667,134.8931306423611,0.7827023056376963,0.9997352396081546,0.23910462947261318,4.1822695035461,0.4124602275396201,1253,21921.0,0.8070343506226906,1.3688548719458347
34,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:41.28,101.28,2532,1280,720,186207,0.20204752604166668,142063,0.1541482204861111,1600,3180,4779,3179,4778,1491,293,39567,150687,26437,13130,1347,899,32261.0,104795.0,162.0,3233.0,23.95025983667409,116.56840934371525,28221,0.030621744791666666,5229.050309461805,0.9779606868136548,0.9968710888610763,0.3078486569015697,3.248349400204581,0.5213002299158463,1784,137056.0,0.764614464160635,1.0674811816771947
35,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:44.32,104.32,2608,1280,720,209116,0.22690538194444446,164271,0.17824544270833334,1600,3169,4768,3168,4767,1486,276,58793,182757,43245,15548,1099,734,31516.0,128349.0,304.0,14495.0,28.67697907188353,174.8623978201635,45007,0.04883572048611111,9446.027139756945,0.9763856845776395,0.9945765540258656,0.2455492446376676,4.072502855692346,0.5464743886680473,1762,159865.0,0.8028586619960592,1.0407445947508382
