snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,segment_start_sec,segment_end_sec_exclusive,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index
22,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:48.80,108.8,2720,1280,720,207473,0.2251226128472222,160700,0.1743706597222222,1600,3179,4778,3179,4778,1486,95,47538,172582,32774,14764,1556,1037,43507.0,110858.0,198.0,3571.0,27.960796915167094,106.90260366441659,34355,0.03727756076388889,7124.040551432292,0.983347396410498,0.9966624947851481,22,22,2720,2845,125,108.8,113.8,0.3924570170849194,2.54804973912244,1581,154365.0,0.718155022187672,1.048239458107036,0.5372978805667712
23,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:53.80,113.8,2845,1280,720,207696,0.22536458333333334,163254,0.17714192708333334,1600,3171,4770,3171,4770,1475,452,52826,177845,37389,15437,1467,979,33987.0,122574.0,215.0,3889.0,23.167689161554193,125.20326864147088,39316,0.04266059027777778,8197.06976139323,0.969228435837997,0.9949937421777222,23,23,2845,2970,125,113.8,118.8,0.2772773997748299,3.6064966016418043,1927,156561.0,0.7829152854159082,1.0515392227660543,0.5392263818602505
24,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:58.80,118.8,2970,1280,720,217170,0.23564453125,170456,0.1849565972222222,1600,3181,4780,3180,4779,1483,241,54721,185594,38883,15838,1548,1033,34572.0,128845.0,169.0,6005.0,22.333333333333332,124.72894482090997,40607,0.044061414930555556,8848.635656249999,0.9780897172359287,0.9970796829370046,24,24,2970,3095,125,118.8,123.8,0.26832240288719006,3.7268598866134446,1724,163417.0,0.7884430628392395,1.0443381426330274,0.5460737198097309
25,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:03.80,123.8,3095,1280,720,131625,0.142822265625,104702,0.11360894097222222,1600,3178,4777,3178,4777,1492,351,26326,110588,17443,8883,1151,767,30851.0,71567.0,172.0,2164.0,26.80364900086881,93.3076923076923,19286,0.020926649305555555,2557.4099497070315,0.9630061379486685,0.9964539007092199,25,25,3095,3220,125,123.8,128.8,0.43107856973185965,2.3197627305435806,1843,102418.0,0.6987736530687965,1.105658430315886,0.49200285771162366
26,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:08.80,128.8,3220,1280,720,247653,0.268720703125,192587,0.20897026909722222,1600,3181,4780,3181,4780,1485,1054,53057,204864,36320,16737,1208,806,22649.0,162274.0,145.0,6937.0,18.749172185430464,201.33250620347394,38859,0.04216471354166667,9629.820870225694,0.9854111460344426,0.9970796829370046,26,26,3220,3345,125,128.8,133.8,0.13957257478092608,7.164731334716764,2539,184923.0,0.8775219956414292,1.0699063876651982,0.5566932507326067
27,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:13.80,133.8,3345,1280,720,196234,0.21292751736111112,156331,0.16962999131944445,1600,3176,4775,3176,4775,1479,314,45727,167560,31174,14553,1401,934,38958.0,112227.0,645.0,5081.0,27.80728051391863,120.15738758029978,32967,0.035771484375,6520.192898871528,0.9785170567357528,0.9960367125573634,27,27,3345,3470,125,133.8,138.8,0.3471357160041701,2.8807176959802865,1793,151185.0,0.7423157059232066,1.057515878616796,0.5303356469874309
28,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:18.80,138.8,3470,1280,720,91140,0.09889322916666667,74371,0.08069769965277777,1600,3181,4780,3179,4778,1487,376,16069,77416,10172,5897,821,547,26445.0,46577.0,241.0,1349.0,32.21071863580999,85.14990859232175,12035,0.013058810763888888,1113.6284186197918,0.9408275461776326,0.9970796829370046,28,28,3470,3595,125,138.8,143.8,0.5677694999677952,1.761278124409151,1863,73022.0,0.6378488674645997,1.1831498230436492,0.463097613210798
29,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:23.80,143.8,3595,1280,720,157106,0.1704709201388889,122817,0.13326497395833334,1600,3183,4782,3183,4782,1507,115,35821,130372,23559,12262,1571,1048,33742.0,82846.0,152.0,2150.0,21.478039465308722,79.05152671755725,25181,0.027323133680555556,3964.8766630859377,0.9711638111007509,0.9974968710888611,29,29,3595,3720,125,143.8,148.8,0.4072858074016851,2.4552782881868294,1622,116588.0,0.7105877105705561,1.0688484231079418,0.5046307395111232
30,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:28.80,148.8,3720,1280,720,123056,0.13352430555555556,97224,0.10549479166666667,1600,3170,4769,3169,4768,1494,121,25051,102466,16475,8576,1148,766,30911.0,62658.0,169.0,2742.0,26.92595818815331,81.79895561357702,18090,0.01962890625,2238.1095342881945,0.9635747301519632,0.9947851481017939,30,30,3720,3845,125,148.8,153.8,0.4933288646302148,2.0270453883730712,1615,93569.0,0.6696448610116599,1.0980273141122914,0.4864419071202838
31,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:33.80,153.8,3845,1280,720,139480,0.15134548611111112,109386,0.11869140625,1600,3173,4772,3171,4770,1495,121,29642,116141,19844,9798,1344,897,31843.0,72797.0,183.0,1900.0,23.692708333333332,81.15607580824972,21460,0.02328559027777778,3002.7492546657986,0.9677594454744036,0.9954109303295786,31,31,3845,3970,125,153.8,158.8,0.4374218717804305,2.286122538705524,1616,104640.0,0.6956899847094801,1.0814351945172345,0.4975085839194863
32,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:38.80,158.8,3970,1280,720,170292,0.18477864583333334,134607,0.14605794270833333,1600,3180,4779,3179,4778,1490,144,41802,145104,28702,13100,1464,976,34452.0,94274.0,117.0,5741.0,23.5327868852459,96.5922131147541,30336,0.032916666666666664,5194.4952888997395,0.9711396885704621,0.9968710888610763,32,32,3970,4095,125,158.8,163.8,0.3654454038228992,2.7363868570765124,1634,128726.0,0.7323617606388764,1.0569298306738206,0.5171703719411804
33,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:43.80,163.8,4095,1280,720,167162,0.18138237847222222,133195,0.14452582465277777,1600,3183,4782,3182,4781,1493,332,39970,143279,27723,12247,1170,781,28206.0,97908.0,202.0,11480.0,24.107692307692307,125.36235595390525,29548,0.032061631944444446,4978.491893391927,0.9729722420908161,0.9974968710888611,33,33,4095,4220,125,163.8,168.8,0.28808677534011523,3.4711763454584132,1825,126114.0,0.7763452114753319,1.0658298163979367,0.5176092847286333
34,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:48.80,168.8,4220,1280,720,25513,0.027683376736111112,20676,0.022434895833333333,1160,2314,3473,2304,3463,1096,35,5309,21748,3532,1777,129,87,3494.0,16108.0,720.0,982.0,27.085271317829456,185.1494252873563,4663,0.005059678819444444,120.54764887152778,0.7749455392449711,0.9997121473805411,34,34,4220,5000,780,168.8,200.0,0.2169108517506829,4.610188895248998,1131,19602.0,0.821752882358943,1.3202151755379388,0.4120477180764106
35,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:20.00,200.0,5000,1280,720,30425,0.033013237847222224,25210,0.027354600694444446,1457,2897,4353,2893,4349,1279,78,2964,24916,1250,1714,188,126,6949.0,16404.0,204.0,1104.0,36.962765957446805,130.1904761904762,2607,0.0028287760416666665,80.9333203125,0.91459187410665,0.9972508591065292,35,35,5000,5125,125,200.0,205.0,0.4236161911728847,2.360627428406965,1357,23353.0,0.7024365177921467,2.0856,0.3864967805573536
36,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:25.00,205.0,5125,1280,720,41927,0.045493706597222225,33503,0.036353081597222225,1600,3178,4777,3177,4776,1435,116,4951,33173,2209,2742,316,211,11359.0,19355.0,474.0,896.0,35.94620253164557,91.72985781990522,3760,0.004079861111111111,159.0695687934028,0.9374320716163819,0.9964539007092199,36,36,5125,5250,125,205.0,210.0,0.5868767760268665,1.7039352055638701,1551,30714.0,0.6301686527316533,1.702127659574468,0.40023612222864713
37,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:30.00,210.0,5250,1280,720,290369,0.31507052951388886,237144,0.25731770833333334,1600,3177,4776,3177,4776,1488,385,94683,271082,72001,22682,1068,712,20478.0,207906.0,153.0,69269.0,19.174157303370787,292.00280898876406,73874,0.0801584201388889,21782.5639851888,0.9868778930629715,0.9962453066332916,37,37,5250,5375,125,210.0,215.0,0.09849643588929613,10.152651626135365,1873,228384.0,0.9103352248844052,1.0260135275898945,0.5955417285778888
38,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:35.00,215.0,5375,1280,720,291076,0.3158376736111111,238101,0.25835611979166667,1600,3175,4774,3175,4774,1479,539,94419,271742,71615,22804,1078,719,21569.0,207927.0,213.0,72214.0,20.008348794063078,289.1891515994437,73633,0.07989691840277778,21774.982401801215,0.9870631873668935,0.9958281184814352,38,38,5375,5500,125,215.0,220.0,0.10373352186103776,9.640085307617413,2018,229496.0,0.9060157911248998,1.028178454234448,0.5955523847674952
39,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:40.00,220.0,5500,1280,720,276269,0.29977105034722223,225541,0.24472764756944446,1600,3182,4781,3180,4779,1481,439,86983,255640,65471,21512,1093,729,24356.0,193490.0,196.0,46228.0,22.2836230558097,265.41838134430725,67391,0.07312391493055556,18903.850875,0.9856651766669292,0.9972882770129329,39,39,5500,5625,125,220.0,225.0,0.1258773063207401,7.944243718180325,1920,217846.0,0.8881962487261643,1.0293259611125536,0.5868573240130559
40,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:45.00,225.0,5625,1280,720,32310,0.03505859375,24935,0.027056206597222222,1499,2973,4471,2964,4462,1403,52,4532,24922,2200,2332,401,268,7788.0,15412.0,162.0,387.0,19.4214463840399,57.507462686567166,3655,0.003965928819444444,117.93436414930557,0.8812537418460531,0.995546648853262,40,40,5625,5750,125,225.0,230.0,0.5053205294575656,1.9789419619928095,1455,23200.0,0.6643103448275862,1.6613636363636364,0.3945362566901184
41,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:50.00,230.0,5750,1280,720,75902,0.08235894097222222,60094,0.06520616319444444,1600,3177,4776,3175,4774,1521,91,18062,64503,12432,5630,687,459,13508.0,43325.0,85.0,1011.0,19.662299854439592,94.38997821350763,14044,0.015238715277777778,1072.41255859375,0.9227975134890064,0.9962453066332916,41,41,5750,5875,125,230.0,235.0,0.31178303519907674,3.2073586023097422,1612,56833.0,0.7623211866345257,1.1296653796653797,0.46326451190527274
42,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,03:55.00,235.0,5875,1280,720,103052,0.11181857638888888,81446,0.08837456597222222,1600,3178,4777,3177,4776,1491,107,20614,85429,13186,7428,1079,720,25996.0,52233.0,133.0,1707.0,24.09267840593142,72.54583333333333,14784,0.016041666666666666,1531.9207590060764,0.9311620638047289,0.9964539007092199,42,42,5875,6000,125,235.0,240.0,0.497693029310972,2.0092706570241576,1598,78229.0,0.6676935663245088,1.1211891399969665,0.4682953538647534
43,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:00.00,240.0,6000,1280,720,153172,0.16620225694444443,122484,0.13290364583333333,1600,3176,4775,3175,4774,1468,250,33926,130797,23200,10726,1490,994,28181.0,88121.0,119.0,2438.0,18.913422818791947,88.65291750503017,24918,0.027037760416666667,3851.1752092013885,0.9525393639753678,0.9960367125573634,43,43,6000,6125,125,240.0,245.0,0.31979891285845596,3.1269649764025407,1718,116302.0,0.7576911832986535,1.074051724137931,0.505496078061219
44,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:05.00,245.0,6125,1280,720,72181,0.07832139756944445,55194,0.05988932291666667,1600,3175,4774,3173,4772,1457,705,15037,58495,9965,5072,646,431,20718.0,34058.0,171.0,730.0,32.07120743034056,79.02088167053364,12127,0.013158637152777777,871.6414392361112,0.8753900376318814,0.9958281184814352,44,44,6125,6250,125,245.0,250.0,0.6083152269657642,1.6438845448402355,2162,54776.0,0.6217686578063385,1.2169593577521325,0.4486967425907093
45,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:10.00,250.0,6250,1280,720,90273,0.09795247395833333,68725,0.07457139756944445,1600,3162,4761,3160,4759,1449,737,20315,73429,13656,6659,751,501,22113.0,45936.0,147.0,948.0,29.44474034620506,91.68862275449102,15842,0.01718967013888889,1422.2118072916667,0.8255083214868165,0.9931163954943679,45,45,6250,6375,125,250.0,255.0,0.4813871473354232,2.0773300773300774,2186,68049.0,0.6750429837323105,1.1600761570005858,0.4515362593987019
46,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:15.00,255.0,6375,1280,720,72481,0.07864691840277778,55291,0.05999457465277778,1600,3175,4774,3173,4772,1470,689,15201,58632,10082,5119,656,438,19613.0,35270.0,130.0,552.0,29.897865853658537,80.52511415525115,12241,0.013282335069444444,882.8758778211806,0.8838007326182793,0.9958281184814352,46,46,6375,6500,125,255.0,260.0,0.5560816557981287,1.7982970478764084,2159,54883.0,0.642639797387169,1.2141440190438406,0.4501864859342528
47,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:20.00,260.0,6500,1280,720,110550,0.11995442708333333,87276,0.09470052083333333,1600,3179,4778,3178,4777,1496,107,21856,92020,14430,7426,1100,733,28380.0,55308.0,163.0,1895.0,25.8,75.45429740791269,16033,0.017396918402777777,1781.6268873697916,0.9593672242331573,0.9966624947851481,47,47,6500,6845,345,260.0,273.8,0.513126491646778,1.9488372093023256,1603,83688.0,0.6608832807570978,1.111088011088011,0.48037701020297763
48,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:33.80,273.8,6845,1280,720,119010,0.12913411458333332,96261,0.10444986979166666,1600,3175,4774,3175,4774,1490,324,22662,100360,14367,8295,999,666,28953.0,63609.0,1280.0,2453.0,28.98198198198198,95.509009009009,16181,0.017557508680555556,1949.8440849609374,0.9587483262046506,0.9958281184814352,48,48,6845,7145,300,273.8,285.8,0.455171438004056,2.196974406797223,1814,92562.0,0.687204252284955,1.1262615716572701,0.4796104266909986
49,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,04:45.80,285.8,7145,1280,720,294869,0.31995334201388886,239512,0.2598871527777778,1600,3181,4780,3180,4779,1484,256,98991,276407,76434,22557,987,659,17419.0,214934.0,130.0,147787.0,17.648429584599796,326.15174506828527,78174,0.08482421875,23368.866491699217,0.9876489870081853,0.9970796829370046,49,49,7145,7560,415,285.8,302.4,0.08104348311574716,12.339055054825192,1740,232353.0,0.9250321708779314,1.0227647382055107,0.6000988936054359
