frame_number,frame_index,timestamp_sec,timestamp_mmss,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,propagated_from_keyframe,visual_state_method,source,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index,frame_fraction,time_bin_100
21,20,0.8,00:00.80,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.002645852626008731,1
22,21,0.84,00:00.84,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.002778145257309168,1
23,22,0.88,00:00.88,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0029104378886096044,1
24,23,0.92,00:00.92,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.003042730519910041,1
25,24,0.96,00:00.96,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0031750231512104776,1
26,25,1.0,00:01.00,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.003307315782510914,1
27,26,1.04,00:01.04,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.003439608413811351,1
28,27,1.08,00:01.08,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0035719010451117873,1
29,28,1.12,00:01.12,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0037041936764122237,1
30,29,1.16,00:01.16,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0038364863077126605,1
